ID_Helper,ID_Objectif,ID_Localite,Localite,Departement,Commune,ID_Tache,Categorie,Designation,ID_Materiel,Unite,Qte_Prevue,Qte_Realisee,Quantite_Restante,Taux_Realisation,Poids,Qte_Prevue_Total,Avancement_Pondere,Statut,Avancement_HTA_Localite_pct,Avancement_BT_Localite_pct,Avancement_Global_Localite_pct,Nb_Anomalies_Signalees
HC-413,bb3d3ddb,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_PBA_HTA,Travaux HTA,PBA 12A800,46cfa5f8,U,1.0,1.0,0.0,1.0,0.3,17.0,0.0176470588235294,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-414,756ace2b,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_PBA_HTA,Travaux HTA,PBA 14A1000,ffbf33ef,U,10.0,0.0,10.0,0.0,0.3,17.0,0.0,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-415,5d367e91,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_PBA_HTA,Travaux HTA,PBA 14C1000,f74fbc64,U,4.0,0.0,4.0,0.0,0.3,17.0,0.0,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-946,1a088064,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_PBA_HTA,Travaux HTA,PBA 11C650,26e8ec03,U,1.0,1.0,0.0,1.0,0.3,17.0,0.0176470588235294,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-421,57f1b39e,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_TFO,Travaux HTA,Transformateur 160 kVA,8ae558c8,U,1.0,0.0,1.0,0.0,0.1667,1.0,0.0,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-423,c4425f13,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_Terre,Travaux BT,Mise à la terre,002f1a3d,U,20.0,0.0,20.0,0.0,0.0667,20.0,0.0,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-380,18d1bfda,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_Cable_BT,Travaux BT,PRC 50mm²,8e6b4946,m,7050.0,6189.0,861.0,0.8778723404255319,0.3111,10370.0,0.1856699999999999,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-381,122f4dca,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_Cable_BT,Travaux BT,PRC 70mm²,59dc5a38,m,3320.0,2009.05,1310.95,0.6051355421686747,0.3111,10370.0,0.0602715,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-379,6d4b8172,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_Cable_HTA,Travaux HTA,ASTER 54mm²,e9e0a228,m,420.0,146.3,273.7,0.3483333333333334,0.3333,420.0,0.1160995,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-382,9072351d,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_DMT,Travaux HTA,Point Double DMT-CC,a4425df9,U,2.0,0.0,2.0,0.0,0.0833,2.0,0.0,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-385,1bcc8071,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_EP,Travaux BT,EP,fbeef696,U,94.0,67.0,27.0,0.7127659574468085,0.1556,94.0,0.1109063829787233,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-388,541754a7,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_Fouille_BT,Travaux BT,Fouille réseau basse tension,e221b25e,U,208.0,205.0,3.0,0.9855769230769232,0.0467,208.0,0.0460264423076923,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-387,71b33790,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_Fouille_HTA,Travaux HTA,Fouille réseau haute tension,f03cfc0b,U,16.0,11.0,5.0,0.6875,0.0333,16.0,0.02289375,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-383,3c9baafa,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_IACM,Travaux HTA,IACM,21f4f4d7,U,2.0,2.0,0.0,1.0,0.0833,2.0,0.0833,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-369,f598a955,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_PBA_BT,Travaux BT,PBA 9A200,2ec17c4d,U,104.0,104.0,0.0,1.0,0.42,205.0,0.2130731707317073,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-370,089c081d,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_PBA_BT,Travaux BT,PBA 9A650,215ac167,U,81.0,82.0,0.0,1.0,0.42,205.0,0.1659512195121951,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-371,972e3063,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_PBA_BT,Travaux BT,PBA 9C650,9c6af0a4,U,19.0,17.0,2.0,0.8947368421052632,0.42,205.0,0.0348292682926829,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-372,e906b23e,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_PBA_BT,Travaux BT,PBA 9C800,526229bb,U,1.0,1.0,0.0,1.0,0.42,205.0,0.0020487804878048,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-373,e6505c9b,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_PBA_HTA,Travaux HTA,PBA 11A1250,058e9b6a,U,2.0,2.0,0.0,1.0,0.3,18.0,0.0333333333333333,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-374,a0e5d663,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_PBA_HTA,Travaux HTA,PBA 12A800,46cfa5f8,U,2.0,2.0,0.0,1.0,0.3,18.0,0.0333333333333333,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-375,9f11ed2e,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_PBA_HTA,Travaux HTA,PBA 13A400,cd39f595,U,3.0,2.0,1.0,0.6666666666666666,0.3,18.0,0.0333333333333333,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-376,952a9237,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_PBA_HTA,Travaux HTA,PBA 13C800,d6344558,U,6.0,3.0,3.0,0.5,0.3,18.0,0.0499999999999999,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
HC-377,cbcbf2ea,ALI_Kan_04,Localite_017,ALIBORI,Commune_D,P2AE_PBA_HTA,Travaux HTA,PBA 14A1000,ffbf33ef,U,1.0,0.0,1.0,0.0,0.3,18.0,0.0,En Cours,40.56671500483382,86.19554336323075,66.2101165422529,0
